Heat Date,Heat No,Grade,Shape,Shift Incharge,Liq Temperature,Lift Temperature,Heat COmpany,Cut Length1,Cut Length2,Cut Length3,Cut Length4,Cut Length5,NI,MO,NI&MO
30-01-2025,200397/99,GRADE  T22/P22,BLOOM,CSP,1523,1605,KSL,6.38 TO 6.43,,,,,NO,NO,NO
30-01-2025,200393/95,10B35S0,BILLET,CSP,1515,1590,ML,7.50 TO 7.55,,,,,NO,NO,NO
30-01-2025,200398/400,SAE 10B21M1,BILLET,CSP,1519,1595,ML,7.50 TO 7.55,,,,,NO,NO,NO
30-01-2025,200399/404,GRADE  T22/P22,BLOOM,CSP,1523,1603,KSL,6.38 TO 6.43,,,,,NO,YES,NO
30-01-2025,200402/03,SAE 10B21M1,BILLET,CSP,1520,1590,ML,7.50 TO 7.55,,,,,NO,NO,NO
30-01-2025,200405/06,SAE 10B21M1,BILLET,VCK,1520,1593,ML,7.50 TO 7.55,,,,,NO,NO,NO
30-01-2025,200409/11,SCM 435BF,BLOOM,VCK,1510,1585,ML,3.20 TO 3.25,,,,,NO,YES,NO
30-01-2025,200413/14,SAE 10B21M2,BILLET,VCK,1520,1590,ML,7.50 TO 7.55,,,,,NO,NO,NO
30-01-2025,200415/17,40Cr4B,BLOOM,VCK,1506,1580,KSL,4.15 TO 4.20,,,,,NO,NO,NO
30-01-2025,200419/20,SAE 10B21M2,BILLET,RAGHU,1519,1595,ML,7.50 TO 7.55,,,,,NO,NO,NO
30-01-2025,200422/23,CK45,BLOOM,RAGHU,1503,1575,KSL,"""4.20 TO 4.23(19 PCS)","3.99 TO 4.02(REST)"" (FIRST HEAT)",3.99 TO 4.02 (SECOND HEAT),,,NO,NO,NO
30-01-2025,200424,S55CR,BLOOM,RAGHU,1497,1570,KSL,3.00 TO 3.05,,,,,NO,NO,NO
30-01-2025,200425/26,SCM435BF,BILLET,RAGHU,1510,1580,ML,7.50 TO 7.55,,,,,NO,YES,NO
31-01-2025,200428/29,CMA-1,BLOOM,RAGHU,1500,1575,KSL,4.15 TO 4.20,,,,,NO,NO,NO
31-01-2025,200431/32,40Cr4B,BILLET,CSP,1506,1580,KSL,6.02 TO 6.05,,,,,NO,NO,NO
31-01-2025,200433/35,38MnSiVS5,BLOOM,CSP,1500,1580,KSL,4.20 TO 4.23,,,,,NO,NO,NO
31-01-2025,200437/38,SAE 9254MU,BILLET,CSP,1487,1555,ML,11.80 TO 11.90,,,,,NO,NO,NO
31-01-2025,200439,SAE 1046(M),BLOOM,CSP,1499,1570,KSL,3.41 TO 3.44,,,,,NO,NO,NO
31-01-2025,200441/42,SAE 1538MV,BLOOM,VCK,1500,1580,KSL,3.69 TO 3.73,,,,,NO,YES,NO
31-01-2025,200443/45,SCM 420H,BILLET,VCK,1518,1593,ML,11.80 TO 11.90,,,,,NO,YES,NO
31-01-2025,200444,CMA-1,BLOOM,VCK,1500,1575,KSL,4.15 TO 4.20,,,,,NO,NO,NO
31-01-2025,200447/48,41Cr4PRF,BLOOM,VCK,1503,1578,ML,3.85 TO 3.90,,,,,NO,NO,NO
31-01-2025,200450/51,SCM 415HV,BILLET,VCK,1518,1596,ML,11.80 TO 11.90,,,,,NO,YES,NO
31-01-2025,200452/54,SAE 1548LS,BLOOM,VCK,1499,1570,ML,3.74 TO 3.77,,,,,NO,NO,NO
31-01-2025,200457/58,SAE 1040,BLOOM,RAGHU,1500,1575,KSL,3.57 TO 3.60,,,,,NO,NO,NO
31-01-2025,200460/61,20MnCrS5LH,BLOOM,RAGHU,1517,1590,ML,4.15 TO 4.20,,,,,YES,NO,NO
31-01-2025,200463,SAE 1050(M),BILLET,RAGHU,1497,1575,KSL,3.49 TO 3.52,,,,,NO,NO,NO
31-01-2025,200465,SAE 1050(M),BILLET,RAGHU,1497,1585,KSL,3.63 TO 3.66,,,,,NO,NO,NO
31-01-2025,200466/67,SAE 5219,BLOOM,RAGHU,1515,1590,ML,3.20 TO 3.25,,,,,YES,NO,NO
