Heat Date,Heat No,Grade,Shape,Shift Incharge,Liq Temperature,Lift Temperature,Heat COmpany,Cut Length1,Cut Length2,Cut Length3,Cut Length4,Cut Length5,NI,MO,NI&MO
20-01-2025,200021/22,20MnCr5,BILLET,SAKTHIVEL,1515,1590,KSL,3.50 TO 3.53 (1ST HEAT),3.56 TO 3.59 (2 & 3 RD HEAT),,,,NO,NO,NO
20-01-2025,200024/25,38MnS6,BLOOM,SAKTHIVEL,1500,1570,KSL,4.22 TO 4.25,,,,,NO,NO,NO
20-01-2025,200026/28,42CrMO4,BILLET,SAKTHIVEL,1501,1578,KSL,3.53 TO 3.56,,,,,NO,YES,NO
20-01-2025,200030/31,SCM435H,BLOOM,SAKTHIVEL,1507,1580,ML,3.00 TO 3.05 (1ST HEAT),3.88 TO 3.91 (2ND & 3RD HEAT),,,,NO,YES,NO
20-01-2025,200032/34,SAE 1050(M),BILLET,SAKTHIVEL,1497,1570,KSL,3.60 TO 3.63 (1ST & 2ND HEAT),3.63 TO 3.66 (3RD HEAT),,,,NO,NO,NO
20-01-2025,200036/37,SKFGRD3,BLOOM,SAKTHIVEL,1466,1545,ML,3.00 TO 3.05  (FIRST HEAT),3.37 TO 3.40  (SECOND HEAT),,,,NO,NO,NO
20-01-2025,200038/40,SAE 1050(M),BILLET,VCK,1497,1570,KSL,3.63 TO 3.66,,,,,NO,NO,NO
20-01-2025,200039,SKFGRD3,BLOOM,SAKTHIVEL,1466,1545,ML,3.20 TO 3.25,,,,,NO,NO,NO
20-01-2025,200042/43,SKFGRD3(M),BLOOM,KALMATH,1466,1545,ML,3.25 TO 3.30 (1ST HEAT),3.20 TO 3.25 (2ND HEAT),,,,NO,YES,YES
20-01-2025,200044/47,C70S6,BILLET,VCK,1486,1560,KSL,3.39 TO 3.42,3.46 TO 3.49----2 ND HT,,,,YES,NO,NO
20-01-2025,200045/46,SKFGD3,BLOOM,VCK,1466,1542,ML,3.85 TO 3.90,,,,,NO,NO,NO
20-01-2025,200050/51,S55CR,BILLET,PATIL,1497,1575,KSL,2.60 TO 2.65,2.60 TO 2.65,,,,NO,NO,NO
21-01-2025,200052/55,DIN 1.1213,BLOOM,PATIL,1496,1585,ML,2.91 TO 2.94,2.91 TO 2.94,,,,NO,NO,NO
21-01-2025,200056,DIN 1.1213,BLOOM,PATIL,1497,1580,ML,3.20 TO 3.23,,,,,NO,NO,NO
21-01-2025,200057/58,SAE 1040,BILLET,PATIL,1507,1582,KSL,3.57 TO 3.60,3.44 TO 3.47,,,,NO,NO,NO
21-01-2025,200059/61,SCM 435BF,BLOOM,PATIL,1510,1585,ML,3.85 TO 3.90,3.85 TO 3.90,,,,NO,YES,NO
21-01-2025,200060,SAE 1040,BILLET,PATIL,1506,1585,KSL,3.44 TO 3.47,,,,,NO,NO,NO
21-01-2025,200063/64,40Cr4B,BILLET,RAGHU,1506,1576,KSL,3.43 TO 3.46,,,,,NO,NO,NO
21-01-2025,200065/67,SAE 1018,BLOOM,RAGHU,1521,1600,ML,"""3.00 TO 3.05/(23 PCS)","4.22 TO 4.25 (REST)"" (1ST HEAT)",4.22 TO 4.25 (2ND HEAT),3.34 TO 3.37 (3RD HEAT),,NO,NO,NO
21-01-2025,200069/70,SAE 1140,BILLET,RAGHU,1503,1580,KSL,3.43 TO 3.46 (1ST HEAT),3.44 TO 3.47 (2ND HEAT),,,,NO,NO,NO
21-01-2025,200072/73,20CrNi4,BLOOM,RAGHU,1512,1585,ML,3.85 TO 3.90,,,,,YES,NO,YES
21-01-2025,200074/76,42CrMO4,BILLET,RAGHU,1503,1578,KSL,3.37 TO 3.40,,,,,NO,YES,YES
21-01-2025,200078/79,SUJ2R,BLOOM,SAKTHIVEL,1466,1540,ML,3.85 TO 3.90,,,,,NO,NO,NO
21-01-2025,200080/82,SAE 1050(M),BILLET,SAKTHIVEL,1498,1580,KSL,3.63 TO 3.66 (1ST HEAT),3.49 TO 3.52 (2ND & 3RD HEAT),,,,NO,NO,NO
21-01-2025,200084/85,SAE 52100NH,BLOOM,CSP,1467,1540,ML,3.20 TO 3.25,,,,,NO,NO,NO
21-01-2025,200086/88,S53C,BILLET,SAKTHIVEL,1497,1580,KSL,3.50 TO 3.53 (1ST &2ND HEAT),3.40 TO 3.45 (3RD HEAT),,,,NO,NO,NO
22-01-2025,200090/91,SKFGR170,BLOOM,VCK,1514,1590,ML,3.20 TO 3.25---1 ST,4.17 TO 4.20----2 ND,,3.84 TO 3.87---3 RD HT,,YES,YES,YES
22-01-2025,200092/94,100Cr6,BILLET,VCK,1467,1540,ML,3.28 TO 3.33(FIRST AND SECOND HEAT),,3.38 TO 3.41---3 RD HT ( KSL),,,NO,NO,NO
22-01-2025,200096/97,SAE 5219,BLOOM,VCK,1516,1590,ML,3.20 TO 3.25,,,,,YES,NO,NO
22-01-2025,200098/100,20MnCr5,BILLET,VCK,1518,1600,KSL,3.32 TO 3.35,3.50 TO 3.53---2 ND HT,,,,NO,NO,NO
22-01-2025,200102/03,SAE 1035,BLOOM,RAGHU,1510,1590,KSL,3.20 TO 3.25,,,,,NO,NO,NO
22-01-2025,200104/05,SAE 8319,BILLET,RAGHU,1514,1585,KSL,3.46 TO 3.49,,,,,YES,YES,YES
22-01-2025,200106/08,38MnS6,BLOOM,RAGHU,1500,1570,ML,4.22 TO 4.25,,,,,NO,NO,NO
22-01-2025,200107,SAE 8319,BILLET,RAGHU,1514,1585,KSL,3.52 TO 3.55,,,,,YES,YES,YES
22-01-2025,200110/11,GRADE  T11/P11,BILLET,RAGHU,1522,1595,KSL,3.37 TO 3.40,,,,,NO,YES,NO
22-01-2025,200112,S43CV,BLOOM,RAGHU,1502,1580,ML,"""3.81 TO 3.84(HALF)","4.02 TO 4.05(HALF)""",,,,NO,NO,NO
22-01-2025,200113,S43CV,BLOOM,RAGHU,1502,1580,ML,4.02 TO 4.05,,,,,NO,NO,NO
22-01-2025,200114,16MnCr5,BILLET,CSP,1518,1613,KSL,3.50-3.53,,,,,NO,NO,NO
22-01-2025,200116/17,GRADE  T22/P22,BILLET,CSP,1523,1603,KSL,3.37 TO 3.40,,,,,NO,YES,NO
22-01-2025,200118/19,JIS S45CS1V,BLOOM,CSP,1499,1580,ML,3.85 TO 3.90,,,,,NO,NO,NO
22-01-2025,200121/22,54SiCr6,BILLET,CSP,1487,1550,ML,11.80 TO 11.90,,,,,NO,NO,NO
22-01-2025,200123/25,SAE 8740,BLOOM,CSP,1503,1580,ML,3.20 TO 3.25( 1ST HEAT ),3.85 TO 3.90( 2ND HEAT ),,,,YES,YES,YES
22-01-2025,200127/28,S45CLO,BILLET,VCK,1502,1578,ML,11.80 TO 11.90,,,,,NO,NO,NO
23-01-2025,200129/31,20MnCr5,BLOOM,VCK,1516,1592,KSL,4.20 TO 4.23,,,,,NO,NO,NO
23-01-2025,200133/34,SAE 9254D,BILLET,VCK,1486,1560,ML,11.80 TO 11.90,,,,,NO,NO,NO
23-01-2025,200137/38,20MnCr5,BLOOM,RAGHU,1514,1590,KSL,4.20 TO 4.23,,,,,NO,NO,NO
23-01-2025,200139,42CrMo4,BILLET,RAGHU,1501,1570,KSL,"""6.00 TO 6.03(13 PCS)",6.50 TO 6.53( 12 PCS),"5.80 TO 5.83(REST)""",,,NO,YES,NO
23-01-2025,200140,42CrMo4,BILLET,RAGHU,1501,1570,KSL,"""5.80 TO 5.83( 18 PCS)",6.40 TO 6.43( 12 PCS),"7.32 TO 7.35(REST)""",,,NO,YES,NO
23-01-2025,200141/42,20MnCr5,BLOOM,RAGHU,1516,1595,ML,3.85 TO 3.90,,,,,NO,NO,NO
23-01-2025,200143/45,JIS S25C,BILLET,RAGHU,1518,1598,ML,11.80 TO 11.90,,,,,NO,NO,NO
23-01-2025,200147,42CrMoS4LS,BLOOM,RAGHU,1503,1578,ML,3.85 TO 3.90,,,,,NO,YES,NO
23-01-2025,200149/51,16MnCr5 SAF,BILLET,RAGHU,1517,1590,ML,11.80 TO 11.90,,,,,YES,NO,NO
23-01-2025,200153/54,S55CR,BLOOM,SAKTHIVEL,1494,1570,KSL,3.00 TO 3.05,,,,,NO,NO,NO
23-01-2025,200156/57,SAE 10B21M1,BILLET,SAKTHIVEL,1520,1595,ML,7.50 TO 7.55,,,,,NO,NO,NO
23-01-2025,200159/60,100CrMnSi6-4,BLOOM,SAKTHIVEL,1464,1540,ML,3.85 TO 3.90,,,,,NO,NO,NO
23-01-2025,200161/63,15B25PRF,BILLET,SAKTHIVEL,1518,1600,ML,7.50 TO 7.55,,,,,NO,NO,NO
23-01-2025,200165/66,SAE 1548,BLOOM,VCK,1500,1575,KSL,3.83 TO 3.86,,,,,NO,NO,NO
24-01-2025,200167/69,10B35S0,BILLET,VCK,1515,1588,ML,7.50 TO 7.55,,,,,NO,NO,NO
24-01-2025,200171/72,41CrS4,BLOOM,VCK,1501,1578,ML,3.59 TO 3.63,,,,,NO,NO,NO
24-01-2025,200174/75,CF53,BILLET,VCK,1497,1570,ML,11.80 TO 11.90,,,,,NO,NO,NO
24-01-2025,200176/78,SAE 1040,BLOOM,VCK,1507,1580,KSL,4.20 TO 4.23,,,,,NO,NO,NO
24-01-2025,200180/181,ER70S2,BILLET,RAGHU,1527,1598,ML,7.50 TO 7.55,,,,,NO,NO,NO
24-01-2025,200182/83,SAE 1548,BLOOM,RAGHU,1500,1570,KSL,3.83 TO 3.86,,,,,NO,NO,NO
24-01-2025,200184/86,JIS S35C,BILLET,RAGHU,1510,1570,ML,11.80 TO 11.90,,,,,NO,NO,NO
24-01-2025,200188/89,41CrS4,BLOOM,RAGHU,1501,1570,KSL,3.59 TO 3.63,,,,,NO,NO,NO
24-01-2025,200191/92,JIS S45C(M),BILLET,CSP,1500,1580,ML,11.80 TO 11.90,,,,,YES,NO,NO
24-01-2025,200193/95,SUJ2S,BLOOM,CSP,1466,1541,ML,"""3.20 TO 3.25","X5--TO BE CUT 3.90 M""",,,,NO,NO,NO
24-01-2025,200197/98,SWRCH8A,BILLET,CSP,1535,1620,ML,11.80 TO 11.90,,,,,NO,NO,NO
24-01-2025,200200/01,16MnCr5ALN,BLOOM,CSP,1518,1590,ML,"""3.00 TO 3.05(13 PCS)","4.20 TO 4.23 (REST)."" ( 1ST HEAT)",4.20 TO 4.23 (2ND HEAT),,,NO,NO,NO
24-01-2025,200202/04,41Cr4,BILLET,SAKTHIVEL,1502,1585,ML,11.80 TO 11.90,,,,,NO,NO,NO
24-01-2025,200203,16MnCr5ALN,BLOOM,SAKTHIVEL,1517,1590,ML,3.84 TO 3.87,,,,,NO,NO,NO
